;name;filename;success;BestEnergy
140;12;ligands/12.pdbqt;True;-6.8
141;379;ligands/379.pdbqt;True;-5.6
142;562;ligands/562.pdbqt;True;-6.0
143;275;ligands/275.pdbqt;True;-5.8
144;412;ligands/412.pdbqt;True;-5.8
145;620;ligands/620.pdbqt;True;-5.3
146;395;ligands/395.pdbqt;True;-5.2
147;704;ligands/704.pdbqt;True;-6.4
148;840;ligands/840.pdbqt;True;-8.3
149;236;ligands/236.pdbqt;True;-6.8
150;269;ligands/269.pdbqt;True;-7.1
151;516;ligands/516.pdbqt;True;-4.5
152;622;ligands/622.pdbqt;True;-7.5
153;192;ligands/192.pdbqt;True;-5.4
154;845;ligands/845.pdbqt;True;-5.7
155;477;ligands/477.pdbqt;True;-6.7
156;767;ligands/767.pdbqt;True;-5.8
157;116;ligands/116.pdbqt;True;-4.5
158;418;ligands/418.pdbqt;True;-7.1
159;312;ligands/312.pdbqt;True;-8.0
160;833;ligands/833.pdbqt;True;-4.5
161;686;ligands/686.pdbqt;True;-6.0
162;603;ligands/603.pdbqt;True;-7.3
163;10;ligands/10.pdbqt;True;-6.6
164;301;ligands/301.pdbqt;True;-8.4
165;332;ligands/332.pdbqt;True;-8.0
166;788;ligands/788.pdbqt;False;
167;150;ligands/150.pdbqt;True;-7.3
168;442;ligands/442.pdbqt;True;-6.6
169;197;ligands/197.pdbqt;True;-5.2
170;162;ligands/162.pdbqt;True;-5.8
171;266;ligands/266.pdbqt;True;-4.9
172;49;ligands/49.pdbqt;True;-6.1
173;631;ligands/631.pdbqt;True;-5.3
174;509;ligands/509.pdbqt;True;-6.3
175;663;ligands/663.pdbqt;True;-6.5
176;520;ligands/520.pdbqt;True;-5.3
177;111;ligands/111.pdbqt;True;-6.8
178;221;ligands/221.pdbqt;True;-7.7
179;586;ligands/586.pdbqt;True;-7.9
180;54;ligands/54.pdbqt;True;-5.7
181;811;ligands/811.pdbqt;True;-5.6
182;517;ligands/517.pdbqt;True;-5.5
183;441;ligands/441.pdbqt;True;-6.2
184;837;ligands/837.pdbqt;True;-7.8
185;822;ligands/822.pdbqt;True;-6.1
186;343;ligands/343.pdbqt;True;-5.6
187;128;ligands/128.pdbqt;True;-7.2
188;198;ligands/198.pdbqt;True;-5.5
189;110;ligands/110.pdbqt;True;-5.4
190;215;ligands/215.pdbqt;False;
191;748;ligands/748.pdbqt;True;-7.5
192;106;ligands/106.pdbqt;True;-7.2
193;206;ligands/206.pdbqt;True;-7.1
194;772;ligands/772.pdbqt;True;-5.5
195;23;ligands/23.pdbqt;True;-5.2
196;256;ligands/256.pdbqt;True;-6.1
197;202;ligands/202.pdbqt;True;-6.6
198;639;ligands/639.pdbqt;True;-6.0
199;267;ligands/267.pdbqt;True;-6.1
200;348;ligands/348.pdbqt;True;-5.1
201;507;ligands/507.pdbqt;True;-6.8
202;665;ligands/665.pdbqt;True;-7.3
203;553;ligands/553.pdbqt;False;
204;53;ligands/53.pdbqt;True;-6.7
205;805;ligands/805.pdbqt;False;
206;123;ligands/123.pdbqt;True;-5.2
207;615;ligands/615.pdbqt;True;-4.7
208;754;ligands/754.pdbqt;True;-7.2
209;6;ligands/6.pdbqt;True;-5.5
210;175;ligands/175.pdbqt;True;-6.0
211;400;ligands/400.pdbqt;True;-8.4
212;234;ligands/234.pdbqt;True;-6.5
213;326;ligands/326.pdbqt;True;-6.3
214;420;ligands/420.pdbqt;True;-8.1
215;695;ligands/695.pdbqt;True;-6.1
216;750;ligands/750.pdbqt;True;-4.9
217;224;ligands/224.pdbqt;True;-6.3
218;784;ligands/784.pdbqt;True;-7.1
219;778;ligands/778.pdbqt;True;-6.8
220;161;ligands/161.pdbqt;True;-7.5
221;299;ligands/299.pdbqt;False;
222;638;ligands/638.pdbqt;True;-4.8
223;293;ligands/293.pdbqt;True;-7.0
224;511;ligands/511.pdbqt;False;
225;450;ligands/450.pdbqt;True;-7.1
226;619;ligands/619.pdbqt;True;-7.7
227;798;ligands/798.pdbqt;True;-6.8
228;46;ligands/46.pdbqt;True;-5.1
229;439;ligands/439.pdbqt;True;-4.5
230;643;ligands/643.pdbqt;False;
231;563;ligands/563.pdbqt;False;
232;551;ligands/551.pdbqt;True;-6.4
233;160;ligands/160.pdbqt;True;-6.5
234;323;ligands/323.pdbqt;True;-5.7
235;814;ligands/814.pdbqt;True;-6.3
236;14;ligands/14.pdbqt;True;-7.4
237;213;ligands/213.pdbqt;True;-7.2
238;296;ligands/296.pdbqt;True;-6.3
239;263;ligands/263.pdbqt;True;-5.9
240;675;ligands/675.pdbqt;True;-6.0
241;391;ligands/391.pdbqt;True;-7.0
242;252;ligands/252.pdbqt;True;-7.9
243;302;ligands/302.pdbqt;True;-7.3
244;721;ligands/721.pdbqt;True;-6.6
245;466;ligands/466.pdbqt;True;-4.1
246;580;ligands/580.pdbqt;True;-6.6
247;621;ligands/621.pdbqt;True;-5.4
248;152;ligands/152.pdbqt;True;-6.5
249;758;ligands/758.pdbqt;True;-6.6
250;559;ligands/559.pdbqt;True;-4.8
251;151;ligands/151.pdbqt;True;-7.2
252;230;ligands/230.pdbqt;True;-7.2
253;185;ligands/185.pdbqt;True;-6.0
254;322;ligands/322.pdbqt;True;-5.6
255;435;ligands/435.pdbqt;True;-7.6
256;187;ligands/187.pdbqt;True;-6.0
257;705;ligands/705.pdbqt;True;-6.5
258;320;ligands/320.pdbqt;True;-6.1
259;166;ligands/166.pdbqt;True;-5.9
260;233;ligands/233.pdbqt;True;-7.7
261;616;ligands/616.pdbqt;True;-4.3
262;554;ligands/554.pdbqt;True;-5.2
263;200;ligands/200.pdbqt;True;-5.6
